IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,NombreTipoEvento,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,T_CICOLE,TotalCivilesMuertos,TotalCombatientesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,Estado
12200,Cr201712202,18,3,1998,Valle de aburra,Antioquia,Medellín,Atentado,Atentado por map,Minas antipersonal (map),Guerrilla,Eln,0,0,0,1,0,0,0,0,0,,,,0,1,1,1,Publicado
23137,Cr201723137,26,9,2004,Florencia y area de influencia,Caquetá,Milán,Incidente,Producción de minas,Minas antipersonal (map),Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,,2,0,2,2,Publicado
30097,,29,4,2012,Norte del huila,Huila,Colombia,Atentado,Atentado por map,Minas antipersonal (map),Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,,0,1,1,1,Publicado
55347,,5,10,2005,Oriente antioqueño,Antioquia,Argelia,Atentado,Atentado por map,Artefacto explosivo,Guerrilla,No identificada,0,1,0,0,0,0,0,0,0,,,,1,,1,1,Publicado
66820,Cr018278,7,5,2004,Oriente antioqueño,Antioquia,Concepción,Atentado,Atentado por aie,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,,2,,2,2,Publicado
71895,,7,8,2000,Oriente antioqueño,Antioquia,El santuario,Incidente,Municiones sin explotar,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,,1,,1,1,Publicado
113698,,31,1,2012,Altillanura,Meta,Mapiripán,Nd,,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,,1,,1,1,Publicado
116764,,10,8,2012,Anden pacifico sur,Nariño,San andrés de tumaco,Atentado,Atentado por map,Minas antipersonal (map),Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,,1,,1,1,Publicado
139902,,24,1,2005,Sarare,Arauca,Tame,Atentado,Atentado por aie,Artefactos explosivos improvisados (aei),Guerrilla,Eln,0,0,0,0,0,0,0,0,0,,,,1,,1,1,Publicado
175352,,13,11,1998,Bajo putumayo,Putumayo,Puerto asís,Atentado,Atentado por aie,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,,2,,2,2,Publicado
191193,,28,5,1996,Montes de maria,Bolívar,El carmen de bolívar,Afectación,,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,,2,,2,2,Publicado
272661,,8,9,2004,Oriente antioqueño,Antioquia,San carlos,Atentado,Atentado por map,Artefacto explosivo,Grupo armado no identificado,No aplica,0,1,0,0,1,0,0,0,0,,,,0,1,0,1,Publicado
292583,,19,2,2016,Norte del cauca,Cauca,Corinto,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292584,,3,2,2016,Sarare,Arauca,Tame,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292589,,2,10,2015,Norte del cauca,Cauca,Caloto,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292591,,8,8,2015,Uraba,Antioquia,Turbo,Atentado,Atentado por map,Minas antipersonal (map),Grupo posdesmovilización,No identificado,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292594,,7,6,2015,Bajo putumayo,Putumayo,Puerto asís,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292601,,22,4,2015,Norte del cauca,Cauca,Miranda,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292602,,15,4,2015,Area metropolitana de cucuta,Norte de santander,El zulia,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292605,,6,3,2015,Caguan,Caquetá,San vicente del caguán,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292616,,18,11,2014,Norte del cauca,Cauca,Miranda,Atentado,Atentado por map,Minas antipersonal (map),Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
292618,,13,11,2014,Sarare,Arauca,Arauquita,Atentado,Atentado por map,Minas antipersonal (map),Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,Publicado
