IdCaso,Id,COD_DANE_MUN,DIAH,MESH,ANNOH,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,MilitantePolitico,Grupo,DESCRIPCION_GRUPO,Estado
195188,28328,52019,8,10,2001,Nariño,Albán,M,,Sin información,Civil,,,,,Publicado
203236,226042,11001,4,8,2002,"Bogotá, d.c.","Bogotá, d.c.",S,,Sin información,Civil,,,,,Publicado
202969,226043,5107,11,12,2013,Antioquia,Briceño,S,,Empleado,Civil,,,,,Publicado
203188,226044,5854,16,10,2013,Antioquia,Valdivia,S,,Sin información,Civil,,,,,Publicado
187133,226045,5088,21,9,1984,Antioquia,Bello,H,,Sin información,Civil,,,,,Publicado
187133,226046,5088,21,9,1984,Antioquia,Bello,M,,Sin información,Civil,,,,,Publicado
187597,226049,41668,9,10,1988,Huila,San agustín,M,,Sin información,Civil,,,,,Publicado
187632,226050,8433,26,10,1988,Atlántico,Malambo,S,,Sin información,Civil,,,,,Publicado
187786,226052,19001,18,3,1989,Cauca,Popayán,H,,Empleado,Civil,,,,,Publicado
187879,226055,5001,4,7,1989,Antioquia,Medellín,H,,Seguridad privada,Civil,,,,,Publicado
187951,226056,5001,27,8,1989,Antioquia,Medellín,S,,Sin información,Civil,,,,,Publicado
187960,226057,41078,1,9,1989,Huila,Baraya,M,,Sin información,Civil,,,,,Publicado
203425,226058,19001,20,8,1990,Cauca,Popayán,M,,Campesino,Civil,,,,,Publicado
188335,226059,25307,10,12,1990,Cundinamarca,Girardot,H,,Economía informal,Civil,,,,,Publicado
188656,226060,20013,18,2,1991,Cesar,Agustín codazzi,H,,Empleado,Civil,,,,,Publicado
188657,226061,20013,18,2,1991,Cesar,Agustín codazzi,H,,Empleado,Civil,,,,,Publicado
188735,226062,73124,3,3,1991,Tolima,Cajamarca,H,,Sin información,Civil,,,,,Publicado
188735,226063,73124,3,3,1991,Tolima,Cajamarca,M,,Sin información,Civil,,,,,Publicado
204808,226064,76233,25,3,1991,Valle del cauca,Dagua,H,,Sin información,Civil,,,,,Publicado
188827,226065,5585,2,4,1991,Antioquia,Puerto nare,S,,Sin información,Civil,,,,,Publicado
189159,226068,52001,12,12,1991,Nariño,Pasto,H,,Seguridad privada,Civil,,,,,Publicado
189159,226069,52001,12,12,1991,Nariño,Pasto,H,,Seguridad privada,Civil,,,,,Publicado
189159,226070,52001,12,12,1991,Nariño,Pasto,H,,Seguridad privada,Civil,,,,,Publicado
189284,226071,11001,27,3,1992,"Bogotá, d.c.","Bogotá, d.c.",H,,Fuerza pública,Combatiente,,,Agente del estado,Ejército nacional,Publicado
189456,226074,5001,25,6,1992,Antioquia,Medellín,H,,Sin información,Civil,,,,,Publicado
189545,226075,5736,4,9,1992,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
189545,226076,5736,4,9,1992,Antioquia,Segovia,M,,Sin información,Civil,,,,,Publicado
189545,226077,5736,4,9,1992,Antioquia,Segovia,M,,Sin información,Civil,,,,,Publicado
189562,226078,68689,22,9,1992,Santander,San vicente de chucurí,H,,Conductor/motorista,Civil,,,,,Publicado
189656,226080,5376,6,11,1992,Antioquia,La ceja,H,,Sin información,Civil,,,,,Publicado
189657,226081,5001,6,11,1992,Antioquia,Medellín,H,,Sin información,Civil,,,,,Publicado
189657,226082,5001,6,11,1992,Antioquia,Medellín,H,,Seguridad privada,Civil,,,,,Publicado
189750,226083,5604,19,11,1992,Antioquia,Remedios,H,,Campesino,Civil,,,,,Publicado
189750,226084,5604,19,11,1992,Antioquia,Remedios,M,,Campesino,Civil,,,,,Publicado
189750,226085,5604,19,11,1992,Antioquia,Remedios,M,,Sin información,Civil,,,,,Publicado
189750,226086,5604,19,11,1992,Antioquia,Remedios,M,,Sin información,Civil,,,,,Publicado
189750,226087,5604,19,11,1992,Antioquia,Remedios,M,,Campesino,Civil,,,,,Publicado
189750,226088,5604,19,11,1992,Antioquia,Remedios,M,,Campesino,Civil,,,,,Publicado
189750,226089,5604,19,11,1992,Antioquia,Remedios,H,,Campesino,Civil,,,,,Publicado
189750,226090,5604,19,11,1992,Antioquia,Remedios,H,,Campesino,Civil,,,,,Publicado
189750,226091,5604,19,11,1992,Antioquia,Remedios,H,,Campesino,Civil,,,,,Publicado
189750,226092,5604,19,11,1992,Antioquia,Remedios,H,,Campesino,Civil,,,,,Publicado
189861,226093,76001,17,12,1992,Valle del cauca,Cali,S,,Sin información,Civil,,,,,Publicado
189979,226094,20060,16,4,1993,Cesar,Bosconia,H,,Sin información,Civil,,,,,Publicado
190115,226095,11001,23,10,1993,"Bogotá, d.c.","Bogotá, d.c.",S,,Otro,Civil,Otro,,,,Publicado
190245,226096,68081,13,3,1994,Santander,Barrancabermeja,H,,Conductor/motorista,Civil,,,,,Publicado
190751,226097,54001,8,4,1995,Norte de santander,Cúcuta,S,,Sin información,Civil,,,,,Publicado
190751,226098,54001,8,4,1995,Norte de santander,Cúcuta,S,,Sin información,Civil,,,,,Publicado
190751,226099,54001,8,4,1995,Norte de santander,Cúcuta,S,,Sin información,Civil,,,,,Publicado
190820,226100,54001,13,6,1995,Norte de santander,Cúcuta,H,,Comerciante,Civil,,,,,Publicado
191189,226101,5172,18,5,1996,Antioquia,Chigorodó,M,,Sin información,Civil,,,,,Publicado
203705,226106,20400,31,7,1996,Cesar,La jagua de ibirico,H,,Campesino,Civil,,,,,Publicado
203705,226107,20400,31,7,1996,Cesar,La jagua de ibirico,H,,Campesino,Civil,,,,,Publicado
191325,226108,5040,14,9,1996,Antioquia,Anorí,H,,Sin información,Civil,,,,,Publicado
191658,226109,95001,14,4,1997,Guaviare,San josé del guaviare,H,,Sin información,Civil,,,,,Publicado
191942,226112,25019,16,9,1997,Cundinamarca,Albán,H,,Fuerza pública,Combatiente,,,Agente del estado,No identificado,Publicado
192011,226113,13001,11,10,1997,Bolívar,Cartagena de indias,H,,Funcionario público,Civil,Funcionario judicial,,,,Publicado
192021,226114,54001,17,10,1997,Norte de santander,Cúcuta,H,,Seguridad privada,Civil,,,,,Publicado
192051,226115,5129,24,10,1997,Antioquia,Caldas,H,,Sin información,Civil,,,,,Publicado
192116,226116,13683,8,11,1997,Bolívar,Santa rosa,M,,Campesino,Civil,,,,,Publicado
192371,226117,18592,29,3,1998,Caquetá,Puerto rico,H,,Sin información,Civil,,,,,Publicado
203134,226118,5736,18,10,1998,Antioquia,Segovia,M,,No aplica,Civil,,,,,Publicado
203134,226119,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
203134,226120,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
203134,226121,5736,18,10,1998,Antioquia,Segovia,M,,No aplica,Civil,,,,,Publicado
203134,226122,5736,18,10,1998,Antioquia,Segovia,M,,No aplica,Civil,,,,,Publicado
203134,226123,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
203134,226124,5736,18,10,1998,Antioquia,Segovia,M,,No aplica,Civil,,,,,Publicado
203134,226125,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
203134,226126,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
203134,226127,5736,18,10,1998,Antioquia,Segovia,M,,No aplica,Civil,,,,,Publicado
203134,226128,5736,18,10,1998,Antioquia,Segovia,M,,Sin información,Civil,,,,,Publicado
203134,226129,5736,18,10,1998,Antioquia,Segovia,M,,Sin información,Civil,,,,,Publicado
203134,226130,5736,18,10,1998,Antioquia,Segovia,H,,No aplica,Civil,,,,,Publicado
