IdCaso,Id,DIAH,MESH,ANNOH,COD_DANE_MUN,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,Grupo,DESCRIPCION_GRUPO,SituacionActualVictima,AfectacionHeridos,CircunstanciaMuerteVictima,ActividadDesarrolladaMomentoAfectacion,Estado
12200,20567,18,3,1998,5001,Antioquia,Medellín,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,,Sin información,Operaciones militares,Publicado
445045,23449,20,10,1990,44420,La guajira,La jagua del pilar,H,,Sin información,Civil,,,,Muerta,,Murió en el lugar de los hechos,Operaciones militares,Publicado
23137,38302,26,9,2004,18460,Caquetá,Milán,H,,Campesino,Civil,,,,Muerta,,Murió en el lugar de los hechos,Tránsito por trocha o camino,Publicado
23137,38303,26,9,2004,18460,Caquetá,Milán,H,,Campesino,Civil,,,,Muerta,,Murió en el lugar de los hechos,Tránsito por trocha o camino,Publicado
446886,40537,3,8,2006,73168,Tolima,Chaparral,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,,Murió en el lugar de los hechos,Operaciones militares,Publicado
297994,40622,11,9,2006,19780,Cauca,Suárez,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,,Murió en el lugar de los hechos,Operaciones militares,Publicado
298001,40654,25,9,2006,19532,Cauca,Patía,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,,,Otro,Publicado
30097,45115,29,4,2012,41206,Huila,Colombia,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,,Murió en el lugar de los hechos,Operaciones militares,Publicado
175352,56517,13,11,1998,86568,Putumayo,Puerto asís,H,,Trabajador de finca,Civil,,,,Muerta,,Murió en el lugar de los hechos,"Actividades agropecuarias, caza o pesca",Publicado
175352,56518,13,11,1998,86568,Putumayo,Puerto asís,H,,Trabajador de finca,Civil,,,,Muerta,,Murió en el lugar de los hechos,"Actividades agropecuarias, caza o pesca",Publicado
66820,106232,7,5,2004,5206,Antioquia,Concepción,H,,Sin información,Civil,,,,Muerta,,Sin información,Sin información,Publicado
66820,106233,7,5,2004,5206,Antioquia,Concepción,H,,Sin información,Civil,,,,Muerta,,Sin información,Sin información,Publicado
489741,111379,16,4,2008,5887,Antioquia,Yarumal,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,Herida(s),Murió en el camino antes de recibir atención médica,Sin información,Publicado
489741,111380,16,4,2008,5887,Antioquia,Yarumal,H,,Fuerza pública,Combatiente,,Agente del estado,Ejército nacional,Muerta,Herida(s),Murió en el camino antes de recibir atención médica,Sin información,Publicado
113698,114026,31,1,2012,50325,Meta,Mapiripán,H,Indígena,Sin información,Civil,Autoridad indígena,,,Muerta,,Murió en el lugar de los hechos,Sin información,Publicado
55347,132240,5,10,2005,5055,Antioquia,Argelia,H,,Comerciante,Civil,,,,Muerta,,Murió en el lugar de los hechos,Tránsito por trocha o camino,Publicado
298968,158406,25,10,2004,86569,Putumayo,Puerto caicedo,H,,Campesino,Civil,,,,Muerta,,Murió en el lugar de los hechos,"Actividades agropecuarias, caza o pesca",Publicado
71895,191137,7,8,2000,5697,Antioquia,El santuario,H,,Campesino,Civil,,,,Muerta,,Murió en el lugar de los hechos,Tránsito por trocha o camino,Publicado
139902,198076,24,1,2005,81794,Arauca,Tame,H,,Trabajador de finca,Civil,,,,Muerta,,Murió en el lugar de los hechos,Otro,Publicado
116764,199689,10,8,2012,52835,Nariño,San andrés de tumaco,H,Indígena,Estudiante,Civil,,,,Muerta,,Murió en el lugar de los hechos,Tránsito por trocha o camino,Publicado
191193,226104,28,5,1996,13244,Bolívar,El carmen de bolívar,H,,Campesino,Civil,,,,Muerta,,,Tránsito por trocha o camino,Publicado
191193,226105,28,5,1996,13244,Bolívar,El carmen de bolívar,H,,Campesino,Civil,,,,Muerta,,,Tránsito por trocha o camino,Publicado
272661,293936,8,9,2004,5649,Antioquia,San carlos,H,,Paramilitar,Combatiente,,Grupo paramilitar,No identificado,Muerta,,Murió en el lugar de los hechos,Sin información,Publicado
